id,label,5_연재확률,10_연재확률,first_positive_5,second_view_1,third_rating_people_5,positive_1,positive_2,positive_3,positive_4,positive_5,view_1,view_2,view_3,view_4,view_5,rating_people_1,rating_people_2,rating_people_3,rating_people_4,rating_people_5,댓글작성자수,독자,긍정1,긍정2,긍정3,부정1,부정2,부정3,genre,title
664659,2,0.7312242746344046,,41.0,40547,2435.36,24.0,8.0,14.0,11.0,41.0,40547,26203,23876,21596,24018,2388.54,1991.72,2098.05,1848.42,2435.36,121,(zzzw****),와,대작,네이버,스토리,스토리가,아니,story,대작
664723,2,0.650002576244867,0.5700820947793932,19.0,169848,3715.74,23.0,23.0,17.0,20.0,19.0,169848,94009,65256,54322,53322,3420.06,3298.2000000000003,3139.56,3444.0,3715.74,137,(zzzz****),와,재밌어요,완전,저기,피키툰에,찾아봣는데,story,2015 범죄스릴러 에스
665269,2,0.593374128369094,0.5487831015416661,18.0,99370,7207.66,16.0,17.0,7.0,20.0,18.0,99370,83878,82493,79874,75374,7136.58,6975.78,6703.200000000001,6930.15,7207.66,64,(yunh****),정주행,완전,그림,어디가요,아니,어느부분이,episode,허니허니
665298,2,0.6234261500857544,0.4929327302558016,10.0,60744,5425.2,18.0,16.0,13.0,13.0,10.0,60744,58147,53473,48801,48960,6164.02,6312.67,6161.47,5247.0,5425.2,68,(yunc****),귀여워요,귀엽네요,고양이가,냄새가,나는걸까요,플라스틱만,episode,이제 오냥?
665388,2,0.5117476753842305,0.4253977214221346,9.0,106300,2517.82,14.0,16.0,14.0,9.0,9.0,106300,77707,58171,54907,51107,4207.139999999999,3559.4,2894.88,2720.72,2517.82,115,(zpm0****),재밌어요,와,마법봉,아니,아니라,무슨,story,옆집에 그녀가 산다
665682,2,0.4595836593717832,0.5377821685989204,11.0,131287,3617.54,5.0,8.0,11.0,9.0,11.0,131287,122334,117888,116523,114086,3976.96,3683.22,4355.91,3789.45,3617.54,133,(zok2****),완전,꿀잼,될,왜,뭐야,하야테처럼이랑,story,초월! 집사소녀!!
665932,2,0.6947285850475753,0.4875955862068686,31.0,306698,10495.36,21.0,36.0,27.0,35.0,31.0,306698,230498,207188,195070,191073,10175.52,10502.44,10295.49,12090.2,10495.36,242,(zkxk****),그림체,하정이,그림체도,헤어지고,남자,그래,story,그대 첫사랑
666075,2,0.5246505340089684,0.4747956203604552,14.0,190058,9198.28,34.0,27.0,24.0,17.0,14.0,190058,176432,175091,154123,153543,11229.0,11005.05,10106.1,9682.4,9198.28,171,(yuvy****),재밌어요,그림체,귀여워요,남은,아니라,승무원,episode,나나의 교환학생이야기
666079,2,0.6781798603582606,,49.0,72786,2086.5,46.0,30.0,18.0,32.0,49.0,72786,43858,29505,27875,42272,2449.04,2204.0,1746.65,1924.56,2086.5,197,(zzzz****),와,빨리,재밌어요,피가,빨리,하는데,story,체크포인트
666504,2,0.5904952892930115,0.5423198011990258,4.0,36821,1286.55,13.0,13.0,8.0,5.0,4.0,36821,29263,27527,23286,22690,1664.04,1676.37,1607.1,1472.88,1286.55,48,(yoel****),왜,박하가,박하,여성스러운,여성스럽지,않고,story,박하의 효능
666565,2,0.6310059548660178,,18.0,38656,1114.76,11.0,7.0,12.0,15.0,18.0,38656,18995,15367,12995,12806,1098.5800000000002,976.56,1074.48,1084.16,1114.76,82,(y_na****),왜,그림체,완전,갱스터가,무슨,뜻이지,story,갱스터
666779,2,0.6916487404046715,0.5491731799021122,4.0,53100,3155.71,12.0,15.0,5.0,12.0,4.0,53100,44429,39063,38152,35735,4179.42,3822.0,3542.88,3554.84,3155.71,49,(zulk****),오랜만에,사화,다시,헙,1화만,봤는데도,story,나에게도 꽃향기가
666840,2,0.6027203795337529,0.4483122410192391,12.0,77373,1569.48,14.0,11.0,5.0,6.0,12.0,77373,56936,53489,46766,40641,2080.5,1909.5,1779.6999999999998,1694.56,1569.48,65,(zoo2****),여자가,만화를,재밌어요,전개가,남주,하는짓이,story,트윙클
